ID,Age,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard
5001,65,39,105,94710,4,2.4,3,0,0,0,0,0
5002,43,18,22,95670,2,0.3,2,0,0,0,1,0
5003,58,34,92,92703,2,2.8,1,103,0,0,0,0
5004,54,29,12,90057,2,0.2,3,0,0,0,1,0
5005,58,31,178,92009,2,6,2,0,0,0,1,0
5006,60,36,93,92521,1,4.3,1,0,0,0,1,0
5007,41,16,23,94143,2,0.3,2,118,0,0,0,0
5008,66,41,70,93711,3,2.2,1,0,0,0,0,0
5009,39,13,93,93555,4,3.6,3,0,0,0,1,0
5010,45,20,22,90230,1,0.1,1,0,0,0,0,0
5011,34,9,32,95054,4,1.1,3,0,0,0,1,0
5012,62,37,125,94801,1,1,3,0,0,0,1,0
5013,56,30,195,90089,1,2.9,1,0,0,0,0,0
5014,55,25,58,95023,4,2,3,219,0,0,0,1
5015,63,39,24,93023,2,0.3,3,0,0,0,0,0
